sold_on,price,address,bedrooms,bathrooms,parking space,land size,property type1property type2,agency,agent
21 Nov 2023,"$731,000","6 Ampelon Street, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
21 Nov 2023,"$510,000","13 Madeira Street, Manor Lakes",3,2,1,288,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
20 Nov 2023,"$865,000","21 Connewarre Close, Manor Lakes",4,2,4,800,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
20 Nov 2023,"$695,101","9 Spearmint Boulevard, Manor Lakes",4,2,2,448,House,McGrath Estate Agents - WERRIBEE,Taney Jai
17 Nov 2023,"$720,000","18 Mundi Crescent, Manor Lakes",4,2,4,714,House,Ray White - Werribee,Jarrod Loughli
16 Nov 2023,"$648,500","44 Kinglake Drive, Manor Lakes",4,2,2,512,House,Right Key Real Estate - CRANBOURNE WEST,vtar Singh
15 Nov 2023,"$730,000","31 Hawkstone Road, Manor Lakes",5,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
15 Nov 2023,"$710,000","4 Blackberry Street, Manor Lakes",5,2,2,448,House,McGrath Estate Agents - WERRIBEE,Taney Jai
15 Nov 2023,"$635,000","4 Manifera Close, Manor Lakes",4,2,2,528,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
15 Nov 2023,"$580,000","21 Clematis Crescent, Manor Lakes",3,2,2,524,House,Gold Coin Real Estate - Cranbourne West,Bikram Singh
15 Nov 2023,"$475,000","7/2 Bertie Street, Manor Lakes",4,2,2,N/A,House,Professionals Ryder Real Estate - Melton,Lachlan Montagu
13 Nov 2023,"$780,000","43 Amaretto Circuit, Manor Lakes",4,2,4,526,House,Ray White - Werribee,lex Krnjeta
12 Nov 2023,"$802,000","13 Michigan Crescent, Manor Lakes",5,3,2,504,House,Harcourts First,Bryson Sh
06 Nov 2023,"$637,000","9 Strawberry Road, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
04 Nov 2023,"$670,000","22 BROCKWELL CRESCENT, Manor Lakes",4,2,4,448,House,Garruda Real Estate - TARNEIT,Vellaa Thangaiah
02 Nov 2023,"$662,500","21 Yarraman Road, Manor Lakes",3,2,4,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
02 Nov 2023,"$520,000","15 Lambertia Crescent, Manor Lakes",3,2,2,312,House,Aidens Realtors - BURNSIDE HEIGHTS,Seemaa Kaur Aid
01 Nov 2023,"$590,000","1149 Ison Road, Manor Lakes",3,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
31 Oct 2023,"$673,000","27 Clematis Crescent, Manor Lakes",4,2,2,541,House,hockingstuart - Werribee,Eric Bartz
31 Oct 2023,"$600,000","7 Stony Street, Manor Lakes",4,2,2,500,House,Barry Plant - Werribee,Reece Beckley
30 Oct 2023,"$560,000","42 Yellow Gum Way, Manor Lakes",3,2,2,597,House,First National Westwood - Werribee,Rob Westwood
16 Oct 2023,"$1,200,000","4 Burrumbeet Court, Manor Lakes",4,3,4,848,House,Pine Crest Real Estate - POINT COOK,Taran Arora
11 Oct 2023,"$770,000","23 Silver Gum Street, Manor Lakes",5,2,2,573,House,Ray White - Werribee,Jarrod Loughli
11 Oct 2023,"$707,000","20 Hazelnut Road, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
11 Oct 2023,"$665,000","5 Honeyblossom Street, Manor Lakes",4,2,2,448,House,Aura Properties Australia - TRUGANINA,Priyanka Chowdary
07 Oct 2023,"$583,000","11 Ashburton Avenue, Manor Lakes",4,2,2,576,House,Hodges - Werribee,Michael Nolto
06 Oct 2023,"$660,000","5 Mackay Road, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
06 Oct 2023,"$618,000","2 Mokoan Close, Manor Lakes",3,2,2,336,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
06 Oct 2023,"$560,000","37 Hawkstone Road, Manor Lakes",3,2,1,512,House,Frost Real Estate - WALLAN,Craig Fros
02 Oct 2023,"$525,000","68 Eltham Parade, Manor Lakes",3,2,1,320,House,Ray White - Werribee,Jarrod Loughli
28 Sep 2023,"$742,000","13 PEPITA CRESCENT, Manor Lakes",4,2,2,448,House,NINE REAL ESTATE COMPANY,Sita Ram Reddy Pylla
27 Sep 2023,"$665,000","17 Swiss Way, Manor Lakes",4,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
21 Sep 2023,"$903,000","25 Pierbrook Avenue, Manor Lakes",6,4,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
19 Sep 2023,"$520,000","8 Orvalia Road, Manor Lakes",3,2,2,336,House,Area Specialist  - Wyndham City,Harry Singh
19 Sep 2023,"$510,000","22 Fragrance Terrace, Manor Lakes",3,2,2,208,House,Ray White - Werribee,lex Krnjeta
15 Sep 2023,"$500,000","55 Spearmint Boulevard, Manor Lakes",4,2,2,208,House,Ray White - Werribee,lex Krnjeta
14 Sep 2023,"$591,000","736 Armstrong Road, Manor Lakes",4,2,2,400,House,Ray White - Werribee,Jarrod Loughli
08 Sep 2023,"$830,000","38  Hindmarsh Drive, Manor Lakes",4,2,2,N/A,House,Barry Plant - Werribee,Reece Beckley
06 Sep 2023,"$652,000","5 Blowering Street, Manor Lakes",4,2,2,N/A,House,Reliance Manor Lakes - WYNDHAM VALE,Milan Neota
04 Sep 2023,"$600,000","14 Butterscotch Esplanade, Manor Lakes",5,2,2,412,House,First National Westwood - Werribee,Rob Westwood
04 Sep 2023,"$585,000","33 Brockwell Crescent, Manor Lakes",4,2,2,400,House,Area Specialist  - Wyndham City,Harry Singh
01 Sep 2023,"$680,000","20 Barcoo Street, Manor Lakes",5,2,2,576,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
01 Sep 2023,"$477,000","23 Mundi Crescent, Manor Lakes",3,1,1,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
30 Aug 2023,"$787,000","16 Leichardt Drive, Manor Lakes",5,2,2,640,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
30 Aug 2023,"$672,000","16 Biscotti Crescent, Manor Lakes",4,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
29 Aug 2023,"$490,000","11 Papaya Walk, Manor Lakes",4,2,2,N/A,House,Ray White - Werribee,Jarrod Loughli
28 Aug 2023,"$882,000","11 Buloke Avenue, Manor Lakes",5,2,4,804,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
28 Aug 2023,"$730,600","6 Lindberg Street, Manor Lakes",4,2,2,448,House,Jazz Real Estate,Jazz Singh
25 Aug 2023,"$650,000","18 Silver Gum Street, Manor Lakes",3,2,2,N/A,House,Reliance Manor Lakes - WYNDHAM VALE,Milan Neota
24 Aug 2023,"$640,000","42 Eltham Parade, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
24 Aug 2023,"$550,000","102 Kinglake Drive, Manor Lakes",3,2,1,320,House,YPA Wyndham City - WERRIBEE,James Antonio
23 Aug 2023,"$555,000","7 Swiss Way, Manor Lakes",4,2,2,512,House,The Agency - Victoria,Elkie Zhou
19 Aug 2023,"$540,000","10 Lambertia Crescent, Manor Lakes",3,2,1,N/A,House,hockingstuart - Werribee,Samantha McCarthy
18 Aug 2023,"$570,300","35 Firecrest Road, Manor Lakes",3,2,2,426,House,Hodges - Werribee,Tony Vercher
15 Aug 2023,"$710,500","11 Boga Place, Manor Lakes",4,2,2,533,House,Barry Plant - Werribee,Reece Beckley
15 Aug 2023,"$700,000","6 Truffle Circuit, Manor Lakes",4,2,2,400,House,McGrath Estate Agents - WERRIBEE,Taney Jai
10 Aug 2023,"$750,000","6 Buffalo Crescent, Manor Lakes",4,2,2,560,House,First National Westwood - Werribee,drew Cruickshank
09 Aug 2023,"$582,000","8 Mondra Terrace, Manor Lakes",4,2,2,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
24 Jul 2023,"$705,000","10 Strudel Road, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
21 Jul 2023,"$630,000","46 Lancewood Road, Manor Lakes",3,2,2,469,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
17 Jul 2023,"$480,000","46 Cranberry Crescent, Manor Lakes",4,2,2,N/A,House,Hodges - Werribee,Tony Vercher
14 Jul 2023,"$516,000","29 Lancewood Road, Manor Lakes",3,2,1,320,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
11 Jul 2023,"$421,000","4 Wallaman Street, Manor Lakes",2,1,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
10 Jul 2023,"$580,000","24 Edenvale Street, Manor Lakes",4,2,2,512,House,Ray White - Werribee,lex Krnjeta
06 Jul 2023,"$805,000","1 Dalrymple Boulevard, Manor Lakes",4,2,2,616,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
05 Jul 2023,"$620,000","28 Bregman Esplanade, Manor Lakes",4,2,2,512,House,YPA Caroline Springs - CAROLINE SPRINGS,Joel Rawl
30 Jun 2023,"$700,000","181 Maracana Avenue, Manor Lakes",4,2,2,482,House,Area Specialist  - Wyndham City,shish Dahal
26 Jun 2023,"$645,000","9 Bindarri Road, Manor Lakes",4,2,2,448,House,The One Real Estate - BOX HILL,Tony Kwa
23 Jun 2023,"$705,000","17 Ashburton Avenue, Manor Lakes",3,2,2,576,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
23 Jun 2023,"$650,000","12 Honeyblossom Street, Manor Lakes",4,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
21 Jun 2023,"$510,000","142 Holyoake Parade, Manor Lakes",3,2,2,N/A,House,McGrath Estate Agents - WERRIBEE,Taney Jai
13 Jun 2023,"$692,000","1158 Ison Road, Manor Lakes",4,2,2,448,House,YPA Wyndham City - WERRIBEE,James Antonio
09 Jun 2023,"$680,500","14 Allspice Street, Manor Lakes",4,2,2,448,House,Ray White - Werribee,lex Krnjeta
07 Jun 2023,"$930,000","2 Connewarre Close, Manor Lakes",4,2,2,"1,001",House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
05 Jun 2023,"$622,500","52 Yellow Gum Way, Manor Lakes",4,2,2,400,House,Ray White - Werribee,Jarrod Loughli
28 May 2023,"$730,000","9 Burley Court, Manor Lakes",4,2,6,569,House,Ray White - Werribee,Michelle Chick
25 May 2023,"$692,000","5 Strudel Road, Manor Lakes",3,2,2,400,House,McGrath Estate Agents - WERRIBEE,Taney Jai
24 May 2023,"$520,000","16 Gunyong Crescent, Manor Lakes",3,2,3,320,House,Ray White - Werribee,lex Krnjeta
23 May 2023,"$855,000","2 Mulwala Court, Manor Lakes",4,2,2,N/A,House,YPA Wyndham City - WERRIBEE,Kirsty Cunningham
23 May 2023,"$727,000","85 Holyoake Parade, Manor Lakes",4,2,2,432,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
11 May 2023,"$610,000","22 Uralla Street, Manor Lakes",4,2,2,453,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
10 May 2023,"$710,000","12 Peppermint Crescent, Manor Lakes",4,2,2,576,House,Hodges - Werribee,Tony Vercher
03 May 2023,"$697,000","12 Eclair Street, Manor Lakes",4,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
01 May 2023,"$640,000","4 Radiata Close, Manor Lakes",3,2,2,481,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
26 Apr 2023,"$694,000","18 Rhubarb Road, Manor Lakes",4,2,2,400,House,McGrath Estate Agents - WERRIBEE,Taney Jai
24 Apr 2023,"$600,000","9 Custard Way, Manor Lakes",4,2,2,346,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
17 Apr 2023,"$700,100","145 Holyoake Parade, Manor Lakes",4,2,2,448,House,McGrath Estate Agents - WERRIBEE,Taney Jai
14 Apr 2023,"$910,000","11 Glenmaggie Place, Manor Lakes",4,2,3,900,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
14 Apr 2023,"$770,000","39 Grovedale Way, Manor Lakes",4,2,4,596,House,Reliance Werribee - WERRIBEE,Vik Monga
14 Apr 2023,"$530,000","17 Hawkstone Road, Manor Lakes",3,2,2,400,House,hockingstuart - Werribee,Eric Bartz
11 Apr 2023,"$772,500","27 Marmalade Road, Manor Lakes",4,2,2,448,House,Area Specialist  - Wyndham City,shish Dahal
06 Apr 2023,"$497,000","41 Spearmint Boulevard, Manor Lakes",3,2,2,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
03 Apr 2023,"$610,000","50 Bregman Esplanade, Manor Lakes",4,2,2,427,House,First National Westwood - Werribee,drew Cruickshank
02 Apr 2023,"$650,000","20 Medlar Ave, Manor Lakes",4,2,2,400,House,Ace Real Estate Melton,Ravish Sharma
27 Mar 2023,"$690,000","6 Grovedale Way, Manor Lakes",5,2,2,558,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
25 Mar 2023,"$620,000","26 Drover Avenue, Manor Lakes",4,2,2,448,House,Barry Plant Real Estate - Tarneit,Rick O'Hallora
24 Mar 2023,"$690,000","5 Toolibin Street, Manor Lakes",4,2,4,571,House,Ray White - Werribee,lex Krnjeta
18 Mar 2023,"$602,000","19 Finsbury Crescent, Manor Lakes",4,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
16 Mar 2023,"$599,000","4 Weavers Street, Manor Lakes",3,2,2,512,House,hockingstuart - Werribee,Eric Bartz
14 Mar 2023,"$490,000","9 Weavers Street, Manor Lakes",3,2,2,320,House,Ray White - Werribee,Robert Krnjeta
11 Mar 2023,"$580,000","16 Cardinia Grove, Manor Lakes",3,2,2,448,House,Established Property - Point Cook,lex Sherwi
10 Mar 2023,"$700,000","17 Loganberry Road, Manor Lakes",4,2,2,571,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
03 Mar 2023,"$715,000","17 Minindee Road, Manor Lakes",4,2,2,587,House,VICPROP - POINT COOK & WILLIAMS LANDING,lpha Liu
02 Mar 2023,"$531,000","44 Cranberry Crescent, Manor Lakes",4,2,2,376,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
24 Feb 2023,"$700,000","9 Heathcote Road, Manor Lakes",4,2,2,576,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
22 Feb 2023,"$540,000","4 Bush Street, Manor Lakes",3,2,2,350,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
13 Feb 2023,"$570,000","26 Ixora Crescent, Manor Lakes",4,2,2,N/A,House,Ray White - Werribee,lex Krnjeta
13 Feb 2023,"$545,000","18 Sugarlea Street, Manor Lakes",3,2,2,400,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
10 Feb 2023,"$660,000","19 Dawson Crescent, Manor Lakes",4,2,2,512,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
08 Feb 2023,"$900,000","10 Eildon Avenue, Manor Lakes",4,2,2,"1,000",House,YPA Wyndham City - WERRIBEE,Mitch Smi
07 Feb 2023,"$640,000","5 Mundi Crescent, Manor Lakes",4,2,2,503,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
06 Feb 2023,"$515,000","2 Amaretto Circuit, Manor Lakes",3,2,1,283,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
02 Feb 2023,"$500,000","13 Pandan Walk, Manor Lakes",3,2,2,N/A,House,Barry Plant - Werribee,Reece Beckley
25 Jan 2023,"$880,000","7 Hindmarsh Drive, Manor Lakes",5,3,2,735,House,YPA Wyndham City - WERRIBEE,James Antonio
25 Jan 2023,"$717,000","44 Bonhams Circuit, Manor Lakes",4,2,2,448,House,Gold Coin Real Estate - Cranbourne West,Bikram Singh
16 Jan 2023,"$600,000","8 Kanto Court, Manor Lakes",4,2,2,400,House,Elders Wyndham City - WERRIBEE,Mandeep Tyagi
13 Jan 2023,"$495,000","54 Yellow Gum Way, Manor Lakes",3,1,2,345,House,OBrien Real Estate - Werribee,Rohan Smith
27 Dec 2022,"$680,000","16 Bertie Street, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
21 Dec 2022,"$690,000","6 Finsbury Crescent, Manor Lakes",4,2,2,N/A,House,Barry Plant Real Estate - Tarneit,Moufid (Mark) Elhaouli
14 Dec 2022,"$720,000","23 Buttermint Crescent, Manor Lakes",4,2,2,504,House,McGrath Estate Agents - WERRIBEE,Taney Jai
12 Dec 2022,"$653,000","5 Treacle Road, Manor Lakes",4,2,2,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
30 Nov 2022,"$610,000","11 Mayesbrook Road, Manor Lakes",4,2,2,448,House,Good News Real Estate - WYNDHAM CITY,Garry Deol
25 Nov 2022,"$513,000","14 Fragrance Terrace, Manor Lakes",3,2,2,208,Townhouse,OBrien Real Estate - Werribee,Lachlan Cro
25 Nov 2022,"$510,000","31 Mayesbrook Road, Manor Lakes",3,2,1,320,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
23 Nov 2022,"$663,000","44 Butterscotch Esplanade, Manor Lakes",4,2,2,405,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
22 Nov 2022,"$780,000","14 Muster Street, Manor Lakes",4,2,3,572,House,YPA Wyndham City - WERRIBEE,N/A
22 Nov 2022,"$585,000","42 Kinglake Drive, Manor Lakes",3,2,2,512,House,JK Estate Agents - HOPPERS CROSSING,mmar Alazawy
19 Nov 2022,"$550,000","19 Mundi Crescent, Manor Lakes",4,2,3,475,House,Ray White - Werribee,lex Krnjeta
17 Nov 2022,"$780,000","7 Burrumbeet Court, Manor Lakes",4,2,2,"1,002",House,First National Westwood - Werribee,Darren Dodd
15 Nov 2022,"$650,000","3 Murdeduke Crescent, Manor Lakes",4,2,2,545,House,Ray White - Werribee,N/A
10 Nov 2022,"$620,000","19 Arrowhead Street, Manor Lakes",4,2,2,448,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
08 Nov 2022,"$610,000","24 Rosewater Street, Manor Lakes",4,2,2,400,House,Ray White - Werribee,Dean Caramia
03 Nov 2022,"$610,000","14 Lambertia Crescent, Manor Lakes",3,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
24 Oct 2022,"$525,000","13 Arrowhead Street, Manor Lakes",3,1,1,448,House,hockingstuart - Werribee,Eric Bartz
23 Oct 2022,"$690,000","800 Armstrong Road, Manor Lakes",3,2,2,591,House,Ray White - Werribee,lex Krnjeta
17 Oct 2022,"$645,000","38 Heathcote Road, Manor Lakes",4,2,2,N/A,House,hockingstuart - Werribee,Samantha McCarthy
11 Oct 2022,"$770,000","15 Cogley Street, Manor Lakes",4,2,2,576,House,Barry Plant - Werribee,Reece Beckley
10 Oct 2022,"$700,000","4 Uralla Street, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
04 Oct 2022,"$695,101","2 Yellow Gum Way, Manor Lakes",3,2,4,526,House,Ray White - Werribee,Dean Caramia
03 Oct 2022,"$620,000","6 Weavers Street, Manor Lakes",3,2,2,512,House,Area Specialist  - Wyndham City,Harry Singh
28 Sep 2022,"$702,000","37 Goodenia Avenue, Manor Lakes",4,2,2,533,House,McGrath Estate Agents - WERRIBEE,Taney Jai
27 Sep 2022,"$745,000","19 Lambertia Crescent, Manor Lakes",5,3,2,556,House,Area Specialist  - Wyndham City,Charlie Xu
19 Sep 2022,"$500,000","30 Mundi crescent, Manor Lakes",3,2,3,410,House,Ray White - Truganina,Jagjit Singh
15 Sep 2022,"$510,000","734 Armstrong Road, Manor Lakes",3,2,2,N/A,House,Barry Plant - Werribee,Reece Beckley
13 Sep 2022,"$568,000","57 Eltham Parade, Manor Lakes",3,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
08 Sep 2022,"$595,000","23 Field Street, Manor Lakes",3,2,2,512,House,McGrath Estate Agents - WERRIBEE,Taney Jai
07 Sep 2022,"$650,000","17 Gelati Street, Manor Lakes",4,2,2,350,House,Barry Plant - Werribee,Reece Beckley
06 Sep 2022,"$500,000","18 Maculata Place, Manor Lakes",3,2,1,384,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
02 Sep 2022,"$716,000","8 Boga Place, Manor Lakes",4,2,2,N/A,House,Barry Plant - Werribee,Reece Beckley
31 Aug 2022,"$715,000","2 Yass Court, Manor Lakes",4,3,2,561,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
28 Aug 2022,"$555,000","25 Bungalook Street, Manor Lakes",3,2,2,N/A,House,Barry Plant - Werribee,Reece Beckley
26 Aug 2022,"$630,000","60 Eltham Parade, Manor Lakes",4,2,2,400,House,McGrath Estate Agents - WERRIBEE,Taney Jai
22 Aug 2022,"$660,000","10 Cherrywood Avenue, Manor Lakes",5,2,2,476,House,YPA Wyndham City - WERRIBEE,N/A
18 Aug 2022,"$555,000","14 Yarraman Road, Manor Lakes",3,2,2,N/A,House,YPA Estate Agents Point Cook - POINT COOK,Justin To
16 Aug 2022,"$630,000","38 Mayesbrook Road, Manor Lakes",4,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
15 Aug 2022,"$698,000","4 Dutch Avenue, Manor Lakes",4,2,2,446,House,Ray White - Werribee,lex Krnjeta
10 Aug 2022,"$900,000","17 Eildon Avenue, Manor Lakes",5,2,6,996,House,Barry Plant - Werribee,Reece Beckley
10 Aug 2022,"$615,000","12 Pastille Road, Manor Lakes",4,2,2,400,House,McGrath Estate Agents - WERRIBEE,Taney Jai
04 Aug 2022,"$570,000","19 Brockwell Crescent, Manor Lakes",3,2,4,507,House,Hodges - Werribee,Tony Vercher
27 Jul 2022,"$725,000","20 Nutmeg Parade, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
23 Jul 2022,"$630,000","3 Vasity Mews, Manor Lakes",3,2,2,601,House,hockingstuart - Werribee,Eric Bartz
21 Jul 2022,"$635,000","39 Hindmarsh Drive, Manor Lakes",4,2,2,588,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
20 Jul 2022,"$845,000","48 Rondo Drive, Manor Lakes",4,2,2,590,House,YPA Wyndham City - WERRIBEE,N/A
19 Jul 2022,"$609,000","1157 Ison Road, Manor Lakes",3,2,2,400,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
14 Jul 2022,"$721,000","16 Eureka Drive, Manor Lakes",4,2,2,525,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
09 Jul 2022,"$585,000","6 Yellow Gum Way, Manor Lakes",3,2,1,505,House,hockingstuart - Werribee,George Yacoubia
05 Jul 2022,"$653,000","15 Bonhams Circuit, Manor Lakes",4,2,2,448,House,Century 21 - POINT COOK,Warren Hulstaer
04 Jul 2022,"$745,000","3 Edwin Close, Manor Lakes",4,2,2,620,House,McGrath Estate Agents - WERRIBEE,Taney Jai
29 Jun 2022,"$650,000","26 Bush Street, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
27 Jun 2022,"$715,000","8 Barcoo Street, Manor Lakes",4,2,3,576,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
24 Jun 2022,"$642,500","7 Koomba Street, Manor Lakes",3,2,2,508,House,First National Westwood - Werribee,Darren Dodd
22 Jun 2022,"$788,000","7 Amadeus Street, Manor Lakes",5,2,2,646,House,Barry Plant - Werribee,Reece Beckley
20 Jun 2022,"$690,000","26 Biscotti Crescent, Manor Lakes",4,2,2,392,House,Bloom Estate Agents - TRUGANINA,Tarun Kumar
16 Jun 2022,"$650,000","30 Eureka Drive, Manor Lakes",3,2,4,512,House,Ray White - Werribee,Robert Krnjeta
